listing_year,state,year,vehicle_type,avg_price,n_listings,dep_annual_rate,n_make_model_year
2020,CT,2012,cuv,13641.152677363218,1470,0.10202637946429116,2559
2020,CT,2012,minivan,12785.089494108537,175,0.10202637946429116,2559
2020,CT,2012,pickup,22646.202264520933,528,0.10202637946429116,2559
2020,CT,2012,suv,19738.981985147442,552,0.10202637946429116,2559
2020,CT,2013,car,13405.315602658296,2976,0.10202637946429116,2559
2020,CT,2013,cuv,15632.349607545497,1932,0.10202637946429116,2559
2020,CT,2013,minivan,13635.833226380551,167,0.10202637946429116,2559
2020,CT,2013,pickup,25444.684645927646,632,0.10202637946429116,2559
2020,CT,2013,suv,22922.33631340064,528,0.10202637946429116,2559
2020,CT,2014,minivan,17218.467611120086,158,0.10202637946429116,2559
2020,CT,2014,car,15815.337538840053,3096,0.10202637946429116,2559
2020,CT,2014,cuv,17492.968368473405,2068,0.10202637946429116,2559
