year,state,powertrain,count
2016,Wisconsin,Compressed Natural Gas (CNG),14400
2016,Wisconsin,Diesel,154400
2016,Wisconsin,Flex Fuel (E85),579200
2016,Wisconsin,Fuel Cell,0
2016,Wisconsin,Gasoline,4500500
2016,Wisconsin,Hybrid Electric (HEV),61700
2016,Wisconsin,Methanol,0
2016,Wisconsin,Plug-In Hybrid Electric (PHEV),2600
2016,Wisconsin,Propane,0
2016,Wisconsin,Unknown,52900
2016,Wyoming,Battery Electric (BEV),100
2016,Wyoming,Biodiesel,0
2016,Wyoming,Compressed Natural Gas (CNG),4800
2016,Wyoming,Diesel,69900
2016,Wyoming,Flex Fuel (E85),64100
2016,Wyoming,Fuel Cell,0
2016,Wyoming,Gasoline,448600
2016,Wyoming,Hybrid Electric (HEV),3800
2016,Wyoming,Methanol,0
2016,Wyoming,Plug-In Hybrid Electric (PHEV),100
2016,Wyoming,Propane,0
2016,Wyoming,Unknown,23700
2017,Alabama,Battery Electric (BEV),800
2017,Alabama,Biodiesel,0
2017,Alabama,Compressed Natural Gas (CNG),18500
2017,Alabama,Diesel,131500
2017,Alabama,Flex Fuel (E85),476700
2017,Alabama,Fuel Cell,0
2017,Alabama,Gasoline,3750700
2017,Alabama,Hybrid Electric (HEV),30600
2017,Alabama,Methanol,0
2017,Alabama,Plug-In Hybrid Electric (PHEV),1100
2017,Alabama,Propane,0
2017,Alabama,Unknown,49000
2017,Alaska,Battery Electric (BEV),400
2017,Alaska,Biodiesel,0
2017,Alaska,Compressed Natural Gas (CNG),4400
2017,Alaska,Diesel,43200
2017,Alaska,Flex Fuel (E85),59400
2017,Alaska,Fuel Cell,0
2017,Alaska,Gasoline,506800
2017,Alaska,Hybrid Electric (HEV),5200
2017,Alaska,Methanol,0
2017,Alaska,Plug-In Hybrid Electric (PHEV),300
2017,Alaska,Propane,0
2017,Alaska,Unknown,16400
2017,Arizona,Battery Electric (BEV),7200
2017,Arizona,Biodiesel,0
2017,Arizona,Compressed Natural Gas (CNG),16600
2017,Arizona,Diesel,187500
2017,Arizona,Flex Fuel (E85),484600
2017,Arizona,Fuel Cell,0
2017,Arizona,Gasoline,4940200
2017,Arizona,Hybrid Electric (HEV),96000
2017,Arizona,Methanol,100
2017,Arizona,Plug-In Hybrid Electric (PHEV),5800
2017,Arizona,Propane,0
2017,Arizona,Unknown,108300
2017,Arkansas,Battery Electric (BEV),300
2017,Arkansas,Biodiesel,0
2017,Arkansas,Compressed Natural Gas (CNG),10800
2017,Arkansas,Diesel,100100
2017,Arkansas,Flex Fuel (E85),352700
2017,Arkansas,Fuel Cell,0
2017,Arkansas,Gasoline,2097400
2017,Arkansas,Hybrid Electric (HEV),20000
2017,Arkansas,Methanol,0
2017,Arkansas,Plug-In Hybrid Electric (PHEV),600
2017,Arkansas,Propane,0
2017,Arkansas,Unknown,19800
2017,California,Battery Electric (BEV),189700
2017,California,Biodiesel,0
2017,California,Compressed Natural Gas (CNG),79300
2017,California,Diesel,738600
2017,California,Flex Fuel (E85),1495800
2017,California,Fuel Cell,3200
2017,California,Gasoline,28171500
2017,California,Hybrid Electric (HEV),1039300
