listing_year,inventory_type,group_var,group_level,category_var,category_level,p
2019,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.15649022622446737
2021,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.06445583680444301
2020,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.08686292449276142
2019,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,7.687239182956292e-4
2024,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.09145539906103287
2022,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.1138104297770623
2023,New,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.11264421944902284
2022,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.04214839748280404
2023,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.044219449022839655
2024,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.061971830985915494
2020,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1650101842990012
2021,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.20758398570656134
2019,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1618152232869282
2018,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.1295269266903052
2019,New,powertrain,Battery Electric (BEV),vehicle_type,Minivan,5.490885130683066e-5
2021,Used,powertrain,Fuel Cell,vehicle_type,CUV,1.1754472576815479e-4
2022,New,powertrain,Flex Fuel (E85),vehicle_type,Minivan,5.853944094833894e-4
2024,Used,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.05355000545315738
2022,Used,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.014237725088863716
2023,Used,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.0366691305053273
2023,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.09331338224954479
2022,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.08181321042146791
2024,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.12215072526993129
2019,Used,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.00590610498402941
2018,Used,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.005485347152771464
2021,Used,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.004278628017960834
2020,Used,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.004687231588505239
2022,Used,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.0018553962735830631
